priorita,scheda,nome,categoria,prezzo (da compilare)
3 - Caudalie e ISDIN,Prodotti,Vinoperfect Siero Illuminante Anti-Macchie,Caudalie - Vinoperfect (schiarente) - 30 ml,
3 - Caudalie e ISDIN,Prodotti,Vinoperfect Essenza Glicolica,Caudalie - Vinoperfect (schiarente) - 100 ml,
3 - Caudalie e ISDIN,Prodotti,Vinoperfect Crema Illuminante Anti-Macchie Giorno,Caudalie - Vinoperfect (schiarente) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Vinoperfect Crema Notte Glicolica Anti-Macchie,Caudalie - Vinoperfect (schiarente) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Vinoperfect Maschera Peeling Glicolico,Caudalie - Vinoperfect (schiarente) - 75 ml,
3 - Caudalie e ISDIN,Prodotti,Vinosource-Hydra Olio Notte Idratante,Caudalie - Vinosource (idratante) - 30 ml,
3 - Caudalie e ISDIN,Prodotti,Vinosource-Hydra Crema-Maschera Idratante,Caudalie - Vinosource (idratante) - 75 ml,
3 - Caudalie e ISDIN,Prodotti,Vinosource-Hydra S.O.S. Crema Idratazione Intensiva,Caudalie - Vinosource (idratante) - 40 ml,
3 - Caudalie e ISDIN,Prodotti,Vinosource Crema Nutriente Fondente,Caudalie - Vinosource (idratante) - 40 ml,
3 - Caudalie e ISDIN,Prodotti,Vinosource Fluido Idratante Effetto Matte,Caudalie - Vinosource (idratante) - 40 ml,
3 - Caudalie e ISDIN,Prodotti,Resveratrol-Lift Crema Cachemire Ridensificante Giorno,Caudalie - Resveratrol-Lift (anti-età) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Resveratrol-Lift Crema Tisana della Notte,Caudalie - Resveratrol-Lift (anti-età) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Premier Cru Il Siero,Caudalie - Premier Cru (anti-età lusso) - 30 ml,
3 - Caudalie e ISDIN,Prodotti,Premier Cru La Crema Ricca,Caudalie - Premier Cru (anti-età lusso) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Vinoclean Olio Detergente Struccante Viso e Occhi,Caudalie - Cleansing (detergenti) - 150 ml,
3 - Caudalie e ISDIN,Prodotti,Vinoclean Latte Detergente Struccante Viso e Occhi,Caudalie - Cleansing (detergenti) - 400 ml,
3 - Caudalie e ISDIN,Prodotti,Vinopure Siero Salicilico Anti-Imperfezioni,Caudalie - Vinopure (pelle mista/impura) - 30 ml,
3 - Caudalie e ISDIN,Prodotti,Vinopure Soluzione Salicilica Stop Brufoli,Caudalie - Vinopure (pelle mista/impura) - 15 ml,
3 - Caudalie e ISDIN,Prodotti,Huile Divine Olio Divino Corpo/Viso/Capelli,Caudalie - Divine (corpo) - 100 ml,
3 - Caudalie e ISDIN,Prodotti,Huile Divine Olio Divino Corpo/Viso/Capelli,Caudalie - Divine (corpo) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Vinosun Protect Crema Solare Viso SPF50+,Caudalie - Solari - 40 ml,
3 - Caudalie e ISDIN,Prodotti,Vinosun Protect Crema Solare Viso SPF30,Caudalie - Solari - 40 ml,
3 - Caudalie e ISDIN,Prodotti,Fotoprotector Fusion Water Color SPF50,ISDIN - Fusion Water (solare viso) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Fotoprotector Fusion Water Magic SPF50+,ISDIN - Fusion Water (solare viso) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Fusion Fluid Mineral SPF50+,ISDIN - Fusion Fluid (solare viso) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Eryfotona AK-NMSC Fluid SPF100+,ISDIN - Eryfotona (fotoriparazione) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Eryfotona Night Siero Notte Riparatore,ISDIN - Eryfotona (fotoriparazione) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Ureadin Ultra 20 Crema Corpo,ISDIN - Ureadin (idratanti urea) - 100 ml,
3 - Caudalie e ISDIN,Prodotti,Ureadin Cream 10% Urea,ISDIN - Ureadin (idratanti urea) - 100 ml,
3 - Caudalie e ISDIN,Prodotti,Ureadin Podos DB Crema Riparatrice Piedi Fragili,ISDIN - Ureadin (urea/piedi) - 100 ml,
3 - Caudalie e ISDIN,Prodotti,Ureadin Podos Gel Oil Piedi,ISDIN - Ureadin (urea/piedi) - 75 ml,
3 - Caudalie e ISDIN,Prodotti,Isdinceutics Melaclear Siero Antimacchie,ISDIN - Isdinceutics (sieri) - 30 ml,
3 - Caudalie e ISDIN,Prodotti,Isdinceutics Hyaluronic Concentrate Siero,ISDIN - Isdinceutics (sieri) - 30 ml,
3 - Caudalie e ISDIN,Prodotti,Isdinceutics Retinal Intense Siero Notte Antirughe,ISDIN - Isdinceutics (sieri) - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Acniben Mattifying Cleanser Gel Detergente Opacizzante,ISDIN - Acniben (pelle impura/acne) - 400 ml,
3 - Caudalie e ISDIN,Prodotti,Acniben Purifying Cleanser Detergente Purificante,ISDIN - Acniben (pelle impura/acne) - 200 ml,
3 - Caudalie e ISDIN,Prodotti,Nutradeica Gel Crema Viso,ISDIN - Cura viso pelle sensibile/seborroica - 50 ml,
3 - Caudalie e ISDIN,Prodotti,Nutratopic Rx Crema Pelle Atopica,ISDIN - Nutraisdin (bambini/pelle atopica) - 100 ml,
3 - Caudalie e ISDIN,Prodotti,Fotoprotector Bruma Viso SPF50,ISDIN - Bruma (solare spray) - 100 ml,
3 - Caudalie e ISDIN,Prodotti,Fotoprotector Lozione Spray Corpo SPF50,ISDIN - Bruma (solare spray corpo) - 200 ml,
4 - Oral-B,Prodotti,Oral-B Pro-Expert CrossAction (medio),Oral-B - Spazzolino manuale - 1 pezzo,
4 - Oral-B,Prodotti,Oral-B Indicator (medio),Oral-B - Spazzolino manuale - 1 pezzo,
4 - Oral-B,Prodotti,Oral-B Indicator (medio),Oral-B - Spazzolino manuale - 2 pezzi,
4 - Oral-B,Prodotti,Oral-B 3D White & Cool (medio),Oral-B - Spazzolino manuale - 1 pezzo,
4 - Oral-B,Prodotti,Oral-B Pro-Sensitive Advanced (extra morbido),Oral-B - Spazzolino manuale - 1 pezzo,
4 - Oral-B,Prodotti,Oral-B Pro-Sensitive Clinical,Oral-B - Spazzolino manuale - 1 pezzo,
4 - Oral-B,Prodotti,Oral-B Vitality CrossAction,Oral-B - Spazzolino elettrico - 1 spazzolino + 1 testina,
4 - Oral-B,Prodotti,Oral-B Vitality Pro D103,Oral-B - Spazzolino elettrico - 1 spazzolino + 1 testina,
4 - Oral-B,Prodotti,Oral-B Pro 1 (Pro Series 1),"Oral-B - Spazzolino elettrico - confezione doppia, 2 testine",
4 - Oral-B,Prodotti,Oral-B Pro 2 (2000N),Oral-B - Spazzolino elettrico - 1 spazzolino + 1 testina,
4 - Oral-B,Prodotti,Oral-B Pro 3 (Pro Series 3),Oral-B - Spazzolino elettrico - 1 spazzolino + custodia,
4 - Oral-B,Prodotti,Oral-B Pro 750,Oral-B - Spazzolino elettrico - 1 spazzolino + 1 testina,
4 - Oral-B,Prodotti,Oral-B Pro 3 3000,Oral-B - Spazzolino elettrico - 1 spazzolino + 1 testina,
4 - Oral-B,Prodotti,Oral-B iO 4,Oral-B - Spazzolino elettrico - spazzolino + testina + custodia viaggio,
4 - Oral-B,Prodotti,Oral-B iO 6 (Black),Oral-B - Spazzolino elettrico - spazzolino + 2-3 testine + custodia,
4 - Oral-B,Prodotti,Oral-B iO 8 (8N),Oral-B - Spazzolino elettrico - spazzolino + 1 testina + custodia magnetica,
4 - Oral-B,Prodotti,Oral-B iO 9 (Black Special Edition),Oral-B - Spazzolino elettrico - spazzolino + 2 testine,
4 - Oral-B,Prodotti,Oral-B iO 10 (Black),Oral-B - Spazzolino elettrico - spazzolino + testina,
4 - Oral-B,Prodotti,Oral-B Pro Kids Frozen (3+),Oral-B - Spazzolino elettrico bambini - 1 spazzolino + 1 testina,
4 - Oral-B,Prodotti,Oral-B Kids Star Wars (3+),Oral-B - Spazzolino elettrico bambini - spazzolino + 4 sticker,
4 - Oral-B,Prodotti,Oral-B Junior 6+ (vari personaggi),Oral-B - Spazzolino elettrico bambini - 1 spazzolino,
4 - Oral-B,Prodotti,Oral-B Testine CrossAction,Oral-B - Testine di ricambio - confezione da 4,
4 - Oral-B,Prodotti,Oral-B Testine 3D White,Oral-B - Testine di ricambio - confezione da 3,
4 - Oral-B,Prodotti,Oral-B Testine Sensitive Clean,Oral-B - Testine di ricambio - confezione da 3,
4 - Oral-B,Prodotti,Oral-B Testine Sensitive Clean & Care,Oral-B - Testine di ricambio - confezione da 2,
4 - Oral-B,Prodotti,Oral-B Testine Precision Clean,Oral-B - Testine di ricambio - confezione da 5-6,
4 - Oral-B,Prodotti,Oral-B Testine iO Specialised Clean,Oral-B - Testine di ricambio - confezione da 2,
4 - Oral-B,Prodotti,Oral-B Oxyjet,Oral-B - Irrigatore orale - kit spazzolino + idropulsore,
4 - Oral-B,Prodotti,Oral-B Waterjet,Oral-B - Irrigatore orale - sistema + 4 testine,
